rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
9.479194544513229737e-01,1.491739388498888909e+19,1.885416150419581527e+02,2.602149645719916862e+02,-1.674312193937713725e+20,-6.065849577489453623e+03,-3.649923835891106137e+03,-7.518471344071346874e-01,9.474380903941308218e-02,2.198458052117345796e-01,-1.258826825114992804e+20,-4.329907205142386374e+03,-5.953803334248897045e+03
9.491633731406313723e-01,1.477090010731200922e+19,1.832047633565393596e+02,2.570616629903590251e+02,-1.646729260962598093e+20,-6.058976840214041658e+03,-4.021701093670047612e+03,-8.188230648657665034e-01,1.006612621406797747e-01,2.140805800659470459e-01,-1.348379900465533256e+20,-4.492906441052835362e+03,-6.291893942809297187e+03
9.504072918299396600e-01,1.462730035720158618e+19,1.778679116711210497e+02,2.531301966892201847e+02,-1.615154344786528174e+20,-6.059303673458969570e+03,-4.463448043600287747e+03,-8.899328411375165837e-01,1.039269447964983467e-01,2.084994317800245578e-01,-1.437378894931479101e+20,-4.667965564321637430e+03,-6.562440612203496130e+03
9.516512105192479476e-01,1.448592780533722522e+19,1.725139354380590930e+02,2.491865080998354074e+02,-1.584405579299444818e+20,-6.093380989315658553e+03,-4.463444729920058307e+03,-9.565548790632422138e-01,1.071926274523169187e-01,2.033412080969991820e-01,-1.515570887293906780e+20,-4.767048361181328801e+03,-6.968942222370507807e+03
9.528951292085563463e-01,1.434731919546989568e+19,1.671002653654526284e+02,2.452428195104502606e+02,-1.560238788544687964e+20,-6.079405648128386929e+03,-4.412595465425336442e+03,-1.008079667420521242e+00,1.120185625969028764e-01,1.971611233675469310e-01,-1.572844999052726108e+20,-4.750379842238312449e+03,-7.269440962432359811e+03
9.541390478978646339e-01,1.420978756296491827e+19,1.617542455657182927e+02,2.413768369760322514e+02,-1.526460916628812595e+20,-5.968746419769439854e+03,-4.196575702810570874e+03,-9.997662219113480075e-01,1.213466327923602844e-01,1.879714325487442661e-01,-1.526104063513321144e+20,-4.283123754021153218e+03,-7.056125762431990552e+03
9.553829665871730326e-01,1.407673241488561152e+19,1.565198183965497662e+02,2.378037957101581412e+02,-1.494184745169556275e+20,-5.842807253493970165e+03,-4.626748307371276496e+03,-9.914527764021744405e-01,1.306747029878185251e-01,1.812801068501698198e-01,-1.481413614056132116e+20,-3.850071108350221493e+03,-6.573996794100196894e+03
9.566268852764813202e-01,1.394450511699662643e+19,1.513807344952899143e+02,2.331623567263372649e+02,-1.452206764034220196e+20,-5.732808480593856984e+03,-5.386224241864666510e+03,-9.831393308930018726e-01,1.458127920294973179e-01,1.768254130961131043e-01,-1.427721586310894715e+20,-3.326230215267532913e+03,-5.871745784640675993e+03
9.578708039657897189e-01,1.381849624256979149e+19,1.463255502295592976e+02,2.282258350099210986e+02,-1.412369403907443753e+20,-5.538497827386375320e+03,-5.543409237876406223e+03,-9.260268957792622269e-01,1.610072478982521871e-01,1.754403174593947012e-01,-1.307892054794017178e+20,-2.624752274217805279e+03,-5.019900318628631794e+03
9.591147226550980065e-01,1.369295622587916493e+19,1.415164384897187233e+02,2.232893132935053870e+02,-1.395784034001562665e+20,-5.328788246944431194e+03,-5.374915819858674695e+03,-7.967912067609648208e-01,1.762017037670056685e-01,1.909011641233903933e-01,-1.112148444829792666e+20,-1.722343402512445664e+03,-3.716574722582896811e+03
9.603586413444064052e-01,1.356950796435858432e+19,1.368197400308640681e+02,2.186377396963499677e+02,-1.369772237447378043e+20,-5.064611722055519749e+03,-4.903118552626225210e+03,-6.466962582132834703e-01,1.993640520680542705e-01,2.071381670369815686e-01,-8.858265805616567091e+19,-7.174767854430765510e+02,-2.446216185152400612e+03
9.616025600337146928e-01,1.344822088271553536e+19,1.324675655902530025e+02,2.145289780440106711e+02,-1.331829339281456169e+20,-4.827643408364979223e+03,-5.177697563912771329e+03,-5.338367853867093116e-01,2.238341619789915304e-01,2.301702954422349956e-01,-7.109794931657175859e+19,6.484495551093687027e+01,-1.097675835370761433e+03
9.628464787230230915e-01,1.333117415346059469e+19,1.281805651963994990e+02,2.093721351951729162e+02,-1.291997097628937748e+20,-4.641411169944024550e+03,-5.806339963367488963e+03,-4.108872113181362695e-01,2.551810961972987846e-01,2.573020760506053994e-01,-5.308650844758800794e+19,8.943100734423123868e+02,5.197366159746638914e+02
9.640903974123313791e-01,1.321664759653729894e+19,1.241484537354289301e+02,2.041218863527628855e+02,-1.261416237872124723e+20,-4.457183366225118334e+03,-5.849140106731496417e+03,-3.416197849186274338e-01,2.871700329976106802e-01,2.957318186859029252e-01,-4.309247438747394048e+19,1.424515965442019251e+03,1.548761566327315904e+03
9.653343161016396667e-01,1.310472209309488333e+19,1.201789371341818651e+02,1.988716375103528549e+02,-1.240338029831650673e+20,-4.221581971584527309e+03,-5.479960117005242864e+03,-2.602697010606343508e-01,3.198666040802248811e-01,3.297831175748834887e-01,-3.228224082384198861e+19,1.902599732912549825e+03,2.251258361295038867e+03
